Map,scenarios/2_blend/basic_animated/ba_50.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
4.69,-39.0
2.09,28.0
1.23,62.0
1.23,62.0
0.94,75.0
4.92,-81.0
1.91,33.0
0.63,79.0
1.37,58.0
1.91,33.0
1.20,58.0
1.94,32.0
1.20,62.0
0.66,83.0
8.54,-345.0
3.37,-24.0
1.20,63.0
3.48,-26.0
0.23,95.0
5.54,-105.0
1.20,58.0
1.20,58.0
0.77,75.0
0.94,75.0
1.20,58.0
1.06,67.0
3.91,-43.0
1.09,66.0
2.17,20.0
0.23,95.0
1.20,58.0
0.23,95.0
1.09,66.0
0.86,75.0
8.55,-302.0
1.20,58.0
0.23,95.0
1.34,58.0
4.86,-75.0
5.34,-99.0
1.34,53.0
2.11,22.0
0.63,79.0
0.88,70.0
1.09,66.0
0.66,83.0
1.06,66.0
0.91,71.0
2.29,22.0
1.20,58.0
2.29,17.0
6.94,-158.0
3.88,-45.0
8.54,-319.0
3.94,-44.0
0.23,95.0
0.23,95.0
0.23,95.0
1.17,58.0
1.43,54.0
1.34,59.0
7.03,-181.0
1.37,53.0
0.77,74.0
1.06,66.0
1.08,66.0
0.77,75.0
7.00,-165.0
3.06,-9.0
1.20,58.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
3.17,-18.0
7.32,-180.0
6.05,-123.0
2.23,13.0
1.20,58.0
0.23,95.0
0.63,79.0
1.34,54.0
0.22,95.0
1.37,57.0
0.77,74.0
0.23,95.0
1.94,32.0
0.23,95.0
0.23,95.0
5.20,-89.0
1.20,58.0
0.63,79.0
0.23,95.0
1.14,66.0
0.77,74.0
0.63,79.0
3.03,-19.0
0.23,95.0
0.23,95.0
0.23,95.0
0.20,95.0
8.57,-326.0
0.80,74.0
3.63,-33.0
0.77,75.0
4.14,-55.0
0.77,74.0
2.51,5.0
0.77,75.0
0.23,95.0
1.31,59.0
1.34,54.0
2.40,14.0
1.20,58.0
2.48,12.0
0.23,95.0
0.23,95.0
3.43,-25.0
3.06,-9.0
0.77,75.0
4.28,-60.0
1.86,34.0
4.20,-56.0
2.34,16.0
1.48,50.0
3.20,-16.0
0.92,75.0
1.35,54.0
3.23,-15.0
2.29,17.0
0.92,71.0
0.77,75.0
2.80,-3.0
1.08,66.0
1.17,58.0
1.20,58.0
1.77,36.0
0.77,75.0
3.20,-18.0
0.91,71.0
0.23,95.0
0.23,95.0
1.37,53.0
8.54,-319.0
0.66,82.0
1.91,32.0
1.57,42.0
1.43,44.0
1.20,58.0
0.77,75.0
4.00,-46.0
0.65,83.0
1.71,37.0
1.34,59.0
1.20,58.0
3.34,-22.0
1.20,58.0
1.34,59.0
5.43,-100.0
0.94,75.0
1.63,46.0
8.54,-319.0
0.65,83.0
0.94,75.0
1.06,67.0
7.11,-168.0
0.23,95.0
0.80,79.0
0.23,95.0
1.92,33.0
1.60,46.0
1.03,62.0
1.46,45.0
0.92,71.0
1.49,50.0
3.34,-22.0
0.91,75.0
4.86,-81.0
2.17,19.0
0.80,74.0
0.23,95.0
0.63,83.0
1.57,42.0
0.77,75.0
2.37,20.0
1.37,58.0
2.45,12.0
1.03,62.0
8.54,-327.0
2.00,30.0
4.40,-64.0
4.46,-64.0
1.20,57.0
1.34,53.0
0.91,75.0
0.63,79.0
3.89,-48.0
1.77,37.0
8.54,-327.0
8.54,-316.0
501.74,410.16,-345.0,95.0,22.47,94.85
