Map,scenarios/2_blend/basic_caco/bc_25.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.66,79.0
1.51,59.0
0.97,76.0
1.37,58.0
0.94,75.0
1.08,71.0
0.80,79.0
0.51,87.0
1.51,54.0
0.94,75.0
3.09,0.0
8.09,-165.0
1.66,50.0
0.66,83.0
0.51,87.0
0.94,75.0
0.80,78.0
2.91,9.0
0.37,91.0
0.66,83.0
0.66,83.0
0.66,83.0
0.51,87.0
1.63,50.0
0.51,87.0
0.80,79.0
1.23,67.0
1.37,58.0
0.66,83.0
0.23,95.0
1.51,54.0
0.23,95.0
1.80,41.0
0.51,87.0
0.95,75.0
0.51,87.0
0.23,95.0
1.37,58.0
1.23,67.0
0.80,79.0
2.34,26.0
0.51,87.0
0.23,95.0
0.80,79.0
1.37,58.0
0.66,83.0
0.80,79.0
0.80,79.0
1.51,59.0
0.66,83.0
1.34,59.0
1.23,67.0
1.51,59.0
0.91,75.0
8.54,-272.0
0.23,95.0
0.23,95.0
0.23,95.0
0.66,83.0
0.94,75.0
1.37,58.0
0.51,87.0
1.91,38.0
0.86,71.0
0.80,79.0
1.08,71.0
0.48,87.0
1.09,71.0
8.54,-309.0
0.51,87.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.66,83.0
0.94,75.0
0.51,87.0
0.65,83.0
0.23,95.0
0.23,95.0
0.66,83.0
0.23,95.0
1.51,54.0
0.66,83.0
0.23,95.0
2.51,26.0
0.23,95.0
0.23,95.0
1.94,37.0
0.80,79.0
0.51,87.0
0.23,95.0
1.34,59.0
0.66,83.0
0.51,87.0
0.51,87.0
0.23,95.0
0.23,95.0
0.23,94.0
0.23,95.0
1.23,67.0
0.51,87.0
1.34,59.0
0.51,87.0
2.08,33.0
0.51,87.0
0.66,83.0
0.51,87.0
0.20,94.0
1.34,58.0
0.80,79.0
2.23,34.0
0.80,79.0
2.31,34.0
0.80,74.0
0.23,95.0
1.23,67.0
1.51,59.0
0.37,91.0
0.80,79.0
1.80,46.0
1.51,59.0
2.37,30.0
1.60,49.0
0.94,75.0
0.94,75.0
1.09,71.0
0.80,79.0
2.37,30.0
0.80,79.0
0.51,87.0
1.46,54.0
0.94,75.0
1.94,37.0
0.66,83.0
1.51,59.0
0.80,79.0
0.80,79.0
0.66,83.0
0.23,95.0
0.23,95.0
2.23,34.0
1.34,58.0
0.80,79.0
6.94,-133.0
0.51,87.0
0.34,91.0
2.66,17.0
0.51,87.0
1.23,67.0
0.80,79.0
0.66,83.0
1.51,54.0
0.80,79.0
0.94,75.0
0.51,87.0
1.37,58.0
1.51,59.0
0.80,79.0
1.91,38.0
0.94,75.0
0.80,79.0
1.91,38.0
0.89,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.23,95.0
0.77,79.0
1.94,37.0
2.48,17.0
0.66,83.0
0.80,79.0
1.63,51.0
0.66,83.0
2.34,26.0
0.66,83.0
1.09,71.0
1.06,66.0
0.23,95.0
0.80,79.0
0.51,86.0
0.37,91.0
8.54,-270.0
1.37,58.0
8.54,-250.0
0.37,91.0
1.92,43.0
1.51,59.0
0.94,75.0
2.14,29.0
0.66,83.0
1.06,67.0
0.77,79.0
0.23,95.0
2.03,34.0
1.23,67.0
0.80,79.0
1.06,67.0
328.28,236.72,-309.0,95.0,63.45,56.83
