Map,scenarios/2_blend/basic_flat/bf_50_1.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,79.0
1.09,71.0
0.80,79.0
0.86,79.0
0.80,79.0
0.91,75.0
0.80,79.0
0.37,91.0
1.06,71.0
0.80,79.0
0.94,75.0
1.08,71.0
1.74,42.0
0.66,83.0
0.66,83.0
0.80,79.0
0.80,79.0
0.66,83.0
0.23,95.0
0.66,83.0
0.66,83.0
0.77,79.0
0.51,87.0
1.08,71.0
0.51,87.0
0.80,79.0
0.94,75.0
0.80,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.51,87.0
0.94,75.0
0.66,83.0
0.80,79.0
0.51,87.0
0.37,91.0
1.08,71.0
0.66,83.0
0.77,79.0
0.80,79.0
0.63,83.0
0.51,87.0
0.80,79.0
0.80,79.0
0.66,83.0
0.77,79.0
0.66,83.0
1.09,71.0
0.66,83.0
0.94,75.0
0.94,75.0
0.94,75.0
0.80,79.0
1.08,71.0
0.23,95.0
0.23,95.0
0.23,95.0
0.66,83.0
0.94,75.0
1.08,71.0
0.51,87.0
0.94,75.0
0.37,91.0
0.80,79.0
0.80,79.0
0.22,95.0
0.94,75.0
1.08,71.0
0.51,87.0
0.37,91.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.80,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.51,87.0
0.51,87.0
0.77,79.0
0.23,95.0
1.08,71.0
0.66,82.0
0.22,95.0
0.86,79.0
0.51,87.0
0.23,95.0
0.63,82.0
0.65,82.0
0.51,86.0
0.46,87.0
0.94,75.0
0.66,83.0
0.66,83.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.94,75.0
0.51,87.0
0.94,75.0
0.51,87.0
1.08,71.0
0.51,86.0
0.80,78.0
0.51,87.0
0.23,95.0
1.08,71.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.23,95.0
0.37,91.0
0.80,79.0
0.94,75.0
0.23,95.0
0.80,79.0
0.80,79.0
1.08,71.0
0.80,79.0
1.08,71.0
0.80,79.0
0.80,79.0
0.80,79.0
0.80,79.0
0.94,75.0
0.63,83.0
0.51,87.0
0.94,75.0
0.80,79.0
0.63,83.0
0.62,83.0
1.05,71.0
0.51,87.0
0.88,75.0
0.65,83.0
0.23,95.0
0.23,95.0
0.80,79.0
1.08,71.0
0.80,79.0
1.08,71.0
0.48,87.0
0.23,95.0
0.66,83.0
0.51,87.0
0.94,75.0
0.80,79.0
0.66,83.0
1.08,71.0
0.66,83.0
0.94,75.0
0.51,87.0
1.08,71.0
1.08,71.0
0.80,78.0
0.94,75.0
0.94,75.0
0.65,83.0
0.86,74.0
0.80,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.23,95.0
0.80,79.0
1.03,75.0
0.57,82.0
0.66,83.0
0.65,83.0
1.08,71.0
0.66,82.0
0.88,75.0
0.63,82.0
0.94,75.0
0.65,83.0
0.23,95.0
0.80,79.0
0.45,87.0
0.22,95.0
1.17,67.0
1.03,71.0
1.08,71.0
0.37,91.0
1.08,71.0
0.94,75.0
0.80,79.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.51,87.0
0.94,75.0
0.94,75.0
0.80,79.0
0.51,87.0
234.62,142.93,42.0,95.0,81.26,7.71
