Map,scenarios/2_blend/basic_flat/bf_50_2.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.66,79.0
1.03,71.0
1.23,57.0
1.11,62.0
1.57,42.0
0.80,78.0
1.23,57.0
1.23,57.0
1.06,62.0
1.23,57.0
1.06,62.0
1.08,71.0
1.06,62.0
1.37,53.0
0.51,87.0
0.80,79.0
1.06,62.0
0.66,83.0
0.23,95.0
0.51,87.0
0.63,79.0
0.66,83.0
0.63,78.0
1.06,62.0
0.77,75.0
1.06,62.0
0.94,75.0
1.06,62.0
0.66,83.0
0.23,95.0
0.77,79.0
0.51,87.0
1.06,62.0
0.63,79.0
0.80,79.0
1.57,42.0
0.23,95.0
1.06,62.0
0.66,83.0
0.66,83.0
0.74,79.0
0.51,87.0
0.77,75.0
0.63,79.0
1.37,53.0
0.63,79.0
1.06,62.0
0.63,79.0
0.94,75.0
0.66,83.0
1.06,62.0
0.94,75.0
0.94,75.0
0.80,79.0
1.08,71.0
0.23,95.0
0.23,95.0
0.23,95.0
0.66,83.0
0.94,75.0
1.06,62.0
0.63,79.0
1.66,40.0
1.06,67.0
1.57,42.0
1.23,57.0
0.23,95.0
0.94,75.0
1.08,71.0
0.63,79.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
1.03,75.0
0.66,83.0
0.80,79.0
1.06,67.0
0.66,83.0
0.51,87.0
0.80,74.0
0.66,83.0
0.23,95.0
1.06,62.0
0.63,79.0
0.23,95.0
0.94,75.0
0.23,95.0
0.23,95.0
0.66,83.0
0.66,83.0
0.51,87.0
0.51,87.0
1.06,62.0
0.63,79.0
0.51,87.0
0.62,78.0
0.23,95.0
0.23,95.0
0.23,95.0
0.37,91.0
0.94,75.0
0.91,70.0
1.06,62.0
1.37,53.0
0.94,75.0
0.63,79.0
0.65,83.0
0.63,79.0
0.23,95.0
1.06,62.0
1.06,62.0
0.80,79.0
0.66,83.0
0.80,79.0
0.23,95.0
0.23,95.0
0.80,79.0
0.94,75.0
0.23,95.0
0.80,79.0
0.80,79.0
1.08,71.0
0.80,79.0
1.06,62.0
0.63,79.0
1.66,40.0
0.80,79.0
0.66,83.0
0.94,75.0
0.63,79.0
0.63,79.0
0.94,75.0
1.02,62.0
0.63,79.0
1.51,49.0
1.08,71.0
0.51,87.0
0.80,79.0
0.63,79.0
0.23,95.0
0.23,95.0
0.80,79.0
0.94,75.0
1.06,62.0
1.08,71.0
0.77,75.0
0.23,95.0
0.66,83.0
1.20,58.0
0.94,75.0
1.06,62.0
0.63,76.0
1.06,62.0
1.14,67.0
0.94,75.0
0.63,79.0
1.06,62.0
0.94,75.0
1.02,62.0
1.06,62.0
0.94,75.0
1.57,42.0
1.06,62.0
2.91,-10.0
0.66,83.0
0.23,95.0
0.63,79.0
0.23,95.0
1.57,41.0
0.94,75.0
0.51,87.0
0.66,83.0
0.63,79.0
1.23,67.0
0.51,87.0
1.03,62.0
0.51,87.0
0.80,79.0
0.63,79.0
0.23,95.0
1.51,49.0
0.63,79.0
0.23,95.0
1.08,71.0
1.06,62.0
1.08,71.0
0.63,79.0
0.94,75.0
0.94,75.0
0.66,83.0
0.80,79.0
0.63,79.0
0.63,79.0
1.06,62.0
0.77,75.0
1.06,62.0
0.94,75.0
0.66,83.0
0.51,87.0
252.34,160.67,-10.0,95.0,75.335,14.36
