Map,scenarios/2_blend/basic_caco/bc_50.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.91,71.0
1.94,37.0
1.86,41.0
3.06,1.0
2.09,33.0
0.80,79.0
0.91,71.0
2.80,3.0
5.86,-114.0
2.51,16.0
2.23,29.0
1.37,58.0
2.23,29.0
0.91,71.0
0.51,87.0
0.80,79.0
2.51,21.0
1.49,50.0
0.23,95.0
0.51,87.0
0.51,87.0
0.91,71.0
3.49,-16.0
2.49,12.0
0.51,87.0
0.91,71.0
1.09,66.0
0.91,71.0
1.06,67.0
3.77,-27.0
0.80,79.0
0.51,87.0
2.23,29.0
1.94,37.0
0.80,79.0
0.51,87.0
0.51,87.0
5.37,-99.0
0.60,87.0
0.80,79.0
0.80,79.0
0.51,87.0
0.51,87.0
1.86,34.0
0.91,71.0
0.91,71.0
0.91,71.0
2.80,2.0
1.37,58.0
0.51,87.0
2.40,14.0
1.09,66.0
1.34,54.0
0.80,79.0
1.37,58.0
0.91,71.0
0.91,71.0
0.37,91.0
0.51,87.0
1.77,42.0
3.94,-39.0
2.34,16.0
2.00,30.0
3.80,-30.0
0.91,71.0
0.91,71.0
8.51,-197.0
1.08,66.0
1.49,50.0
0.51,87.0
0.51,87.0
0.37,91.0
1.51,49.0
1.51,49.0
1.77,42.0
0.91,71.0
1.09,66.0
1.86,34.0
0.91,71.0
0.51,87.0
0.51,87.0
0.60,87.0
1.49,50.0
3.77,-19.0
4.03,-37.0
1.34,54.0
1.49,50.0
0.51,87.0
0.51,87.0
0.51,87.0
0.51,87.0
0.51,87.0
0.51,87.0
2.23,34.0
0.91,71.0
0.51,87.0
2.63,7.0
1.43,48.0
0.37,91.0
0.51,87.0
0.51,86.0
1.20,62.0
1.94,32.0
2.71,7.0
2.46,17.0
1.37,58.0
0.51,87.0
0.91,71.0
0.51,87.0
2.26,18.0
2.77,-1.0
0.91,71.0
0.80,79.0
0.51,87.0
0.80,79.0
0.23,94.0
0.51,87.0
1.09,66.0
1.91,31.0
1.86,34.0
0.80,79.0
0.80,79.0
1.37,58.0
0.80,79.0
2.34,16.0
8.54,-338.0
2.51,16.0
0.80,79.0
0.80,79.0
0.91,75.0
0.91,71.0
2.51,16.0
1.49,54.0
0.91,71.0
1.69,41.0
2.49,16.0
1.37,58.0
0.51,87.0
0.80,79.0
0.91,71.0
2.34,20.0
4.80,-58.0
1.06,67.0
1.37,58.0
1.86,34.0
1.37,58.0
0.51,87.0
1.63,46.0
1.06,66.0
1.94,32.0
1.09,66.0
2.23,24.0
0.91,71.0
3.80,-35.0
0.51,87.0
1.09,66.0
3.06,0.0
3.43,-11.0
0.94,75.0
1.20,62.0
0.91,71.0
1.09,66.0
0.74,83.0
1.00,66.0
0.91,71.0
0.51,87.0
1.34,54.0
1.94,37.0
1.06,67.0
0.91,71.0
1.77,42.0
0.49,87.0
0.51,87.0
1.51,49.0
1.37,58.0
0.51,87.0
2.35,20.0
0.51,87.0
0.80,79.0
1.77,42.0
1.66,45.0
1.94,37.0
0.51,87.0
2.00,30.0
1.37,58.0
0.91,71.0
1.37,58.0
1.37,58.0
1.20,62.0
1.34,54.0
0.80,79.0
0.74,79.0
1.94,32.0
2.51,15.0
2.06,29.0
0.51,87.0
2.94,-6.0
1.34,54.0
0.80,79.0
0.51,87.0
386.88,295.34,-338.0,95.0,51.575,48.01
