Map,scenarios/2_blend/basic_animated/ba_75.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.49,79.0
1.06,62.0
8.54,-344.0
8.54,-345.0
8.54,-345.0
1.06,62.0
8.54,-344.0
8.54,-345.0
8.54,-345.0
8.54,-344.0
8.54,-344.0
1.46,45.0
8.54,-347.0
8.54,-347.0
0.63,78.0
0.63,79.0
8.54,-347.0
0.63,78.0
8.57,-354.0
0.63,79.0
8.54,-348.0
0.63,78.0
8.54,-347.0
8.54,-345.0
8.54,-346.0
8.54,-345.0
1.06,62.0
8.57,-346.0
0.63,79.0
0.23,95.0
0.63,79.0
0.23,95.0
8.54,-344.0
8.54,-345.0
1.03,61.0
8.54,-344.0
0.31,95.0
8.54,-346.0
0.63,79.0
0.63,79.0
0.63,79.0
8.54,-347.0
0.23,95.0
8.57,-346.0
8.54,-344.0
8.54,-345.0
8.54,-345.0
8.54,-344.0
1.83,32.0
0.63,78.0
8.54,-348.0
1.06,62.0
1.03,62.0
8.54,-345.0
1.06,62.0
0.23,94.0
0.23,95.0
0.23,95.0
0.62,79.0
1.06,62.0
8.54,-348.0
8.57,-346.0
8.54,-346.0
8.54,-346.0
8.57,-342.0
8.54,-345.0
8.54,-344.0
1.06,62.0
1.06,62.0
8.54,-344.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
1.06,62.0
0.63,79.0
1.06,62.0
8.54,-344.0
0.63,79.0
0.23,95.0
0.23,95.0
0.63,79.0
0.23,95.0
8.57,-346.0
8.57,-342.0
0.23,95.0
8.54,-344.0
0.23,95.0
0.23,95.0
8.54,-344.0
0.63,79.0
8.54,-344.0
0.23,95.0
8.54,-344.0
8.57,-346.0
8.54,-345.0
8.54,-343.0
0.23,94.0
0.23,95.0
0.23,95.0
0.23,95.0
1.03,62.0
8.54,-349.0
8.54,-346.0
8.57,-346.0
1.06,62.0
8.54,-345.0
0.63,79.0
8.54,-344.0
0.23,95.0
8.54,-345.0
8.54,-343.0
8.54,-345.0
0.63,79.0
1.06,62.0
8.54,-346.0
0.23,95.0
1.06,62.0
1.05,62.0
8.57,-346.0
0.63,79.0
0.63,79.0
2.23,12.0
1.06,62.0
8.54,-344.0
8.54,-344.0
8.57,-350.0
0.63,81.0
0.63,79.0
1.06,62.0
8.54,-345.0
8.57,-346.0
1.03,62.0
8.54,-346.0
8.54,-344.0
8.54,-344.0
1.06,62.0
8.54,-344.0
0.63,78.0
8.54,-342.0
0.23,95.0
0.23,95.0
0.63,79.0
1.06,62.0
8.54,-346.0
1.06,62.0
8.54,-344.0
8.54,-346.0
0.63,79.0
8.54,-344.0
1.03,62.0
8.54,-347.0
8.54,-348.0
8.57,-342.0
0.63,79.0
1.06,62.0
8.54,-350.0
8.54,-344.0
1.06,62.0
8.54,-345.0
8.54,-346.0
1.06,62.0
8.54,-344.0
8.57,-346.0
8.57,-342.0
0.63,79.0
0.23,95.0
8.54,-344.0
0.23,95.0
8.54,-344.0
1.06,62.0
0.63,78.0
0.63,79.0
8.54,-344.0
1.03,62.0
0.63,79.0
8.54,-346.0
0.63,79.0
1.06,62.0
8.54,-349.0
0.23,94.0
8.57,-350.0
8.54,-345.0
8.54,-349.0
1.43,46.0
8.54,-349.0
1.57,42.0
8.54,-348.0
1.03,61.0
1.17,55.0
0.63,79.0
1.06,62.0
8.54,-350.0
8.54,-344.0
8.54,-342.0
0.23,95.0
8.54,-344.0
1.06,62.0
8.54,-344.0
0.63,79.0
994.07,902.52,-354.0,95.0,-128.495,210.82
