Map,scenarios/2_blend/basic_caco/bc_25.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,79.0
1.66,55.0
1.66,45.0
0.91,71.0
0.91,71.0
0.80,79.0
0.91,71.0
2.80,-2.0
0.91,71.0
0.91,71.0
1.05,66.0
1.69,38.0
1.68,39.0
0.66,82.0
0.48,87.0
0.63,83.0
0.91,71.0
1.28,53.0
0.23,94.0
0.51,87.0
1.69,42.0
0.63,83.0
0.51,87.0
1.06,65.0
0.48,87.0
1.63,45.0
1.08,66.0
0.91,70.0
0.91,70.0
0.37,91.0
0.80,79.0
0.51,87.0
2.00,30.0
0.51,87.0
0.80,79.0
0.51,87.0
0.51,87.0
1.45,49.0
0.91,70.0
0.77,79.0
0.77,79.0
0.48,87.0
0.51,87.0
2.37,20.0
0.91,70.0
0.65,83.0
0.91,70.0
1.94,37.0
1.37,58.0
0.51,87.0
1.71,38.0
1.91,37.0
0.94,75.0
0.80,79.0
1.49,55.0
0.37,91.0
1.06,67.0
0.37,91.0
0.51,87.0
1.77,42.0
1.71,41.0
0.51,87.0
2.00,30.0
0.51,87.0
0.91,71.0
1.06,65.0
1.49,49.0
1.20,63.0
1.31,57.0
0.48,87.0
0.51,87.0
0.37,91.0
0.49,86.0
0.23,95.0
1.14,62.0
0.80,79.0
0.94,75.0
0.91,71.0
0.80,79.0
0.51,87.0
0.51,87.0
1.06,67.0
0.23,95.0
2.51,16.0
2.48,17.0
0.91,71.0
1.09,66.0
0.37,91.0
0.37,91.0
0.51,87.0
0.51,87.0
0.51,87.0
0.51,87.0
2.08,33.0
1.89,37.0
0.51,87.0
0.51,87.0
0.37,91.0
0.34,91.0
0.49,87.0
0.51,87.0
1.08,66.0
0.51,87.0
2.46,11.0
0.48,87.0
1.29,59.0
0.51,87.0
0.77,79.0
0.51,87.0
0.37,91.0
2.49,16.0
0.92,71.0
0.80,79.0
1.03,67.0
0.74,78.0
0.23,95.0
0.49,87.0
1.08,66.0
2.09,33.0
0.37,91.0
0.80,79.0
0.80,79.0
1.34,58.0
0.80,79.0
2.06,29.0
1.06,65.0
2.03,27.0
0.77,79.0
0.77,79.0
0.88,74.0
1.05,66.0
0.34,91.0
1.17,62.0
1.03,67.0
0.51,87.0
1.06,65.0
1.14,62.0
0.48,87.0
0.77,78.0
1.68,41.0
1.06,67.0
1.91,37.0
0.74,79.0
1.20,62.0
1.94,37.0
2.26,29.0
0.51,87.0
0.37,91.0
0.91,71.0
0.51,86.0
1.17,62.0
1.43,53.0
0.66,83.0
1.34,54.0
0.51,87.0
0.94,75.0
0.51,87.0
1.34,54.0
0.94,75.0
0.91,71.0
0.91,71.0
0.94,75.0
0.66,83.0
0.91,71.0
0.91,71.0
0.51,87.0
0.37,91.0
1.74,41.0
0.34,91.0
0.91,71.0
0.94,75.0
0.51,87.0
0.51,87.0
1.94,37.0
1.31,58.0
0.51,87.0
0.91,71.0
0.51,87.0
0.80,79.0
1.94,37.0
0.37,91.0
2.37,20.0
0.48,87.0
1.20,58.0
1.57,54.0
1.08,66.0
1.37,58.0
0.51,87.0
0.94,75.0
0.94,75.0
0.80,79.0
0.80,79.0
1.94,32.0
1.49,50.0
0.91,71.0
0.51,87.0
8.54,-245.0
1.34,54.0
0.80,79.0
0.51,87.0
296.05,204.37,-245.0,95.0,68.14,30.00
