Map,scenarios/2_blend/basic_flat/bf_25.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,79.0
1.09,71.0
0.80,79.0
0.86,79.0
0.80,79.0
0.80,79.0
0.80,79.0
1.51,49.0
1.20,63.0
0.80,79.0
1.77,42.0
1.08,71.0
1.91,38.0
0.66,83.0
0.51,87.0
0.80,79.0
0.80,79.0
0.66,83.0
0.23,95.0
0.51,87.0
0.66,83.0
0.66,83.0
0.51,87.0
2.69,6.0
0.51,87.0
0.80,79.0
0.94,75.0
0.80,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.51,87.0
0.80,79.0
0.51,87.0
0.80,79.0
0.51,87.0
0.37,91.0
1.08,71.0
0.66,83.0
0.77,79.0
0.77,79.0
0.51,87.0
0.51,87.0
0.63,82.0
0.77,79.0
0.66,83.0
0.80,79.0
0.66,83.0
0.94,75.0
0.66,83.0
1.20,63.0
1.46,55.0
0.94,75.0
0.80,79.0
1.08,71.0
0.23,95.0
0.23,95.0
0.23,95.0
0.66,83.0
0.94,75.0
1.08,71.0
0.37,91.0
0.80,79.0
0.37,91.0
0.80,79.0
0.80,79.0
0.23,95.0
0.94,75.0
1.09,71.0
0.51,87.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.66,83.0
1.46,55.0
1.51,49.0
0.66,83.0
0.57,88.0
0.51,86.0
0.66,83.0
0.23,95.0
0.94,75.0
0.66,83.0
0.23,95.0
0.94,75.0
0.51,87.0
0.23,95.0
0.51,87.0
0.66,83.0
0.63,83.0
0.51,87.0
1.20,62.0
0.66,83.0
0.51,87.0
0.37,91.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.51,87.0
0.94,75.0
0.51,87.0
0.66,82.0
0.51,87.0
0.23,95.0
1.08,71.0
0.80,79.0
0.80,79.0
0.65,83.0
0.80,79.0
0.23,95.0
0.23,95.0
0.80,79.0
0.94,75.0
0.23,95.0
0.80,79.0
0.80,79.0
1.08,71.0
0.80,79.0
1.77,42.0
0.80,79.0
0.80,79.0
0.80,79.0
0.80,79.0
0.94,75.0
0.66,83.0
0.51,87.0
0.94,75.0
0.80,79.0
0.66,83.0
0.66,83.0
0.94,75.0
0.51,87.0
0.80,79.0
0.66,83.0
0.23,95.0
0.23,95.0
0.80,79.0
0.94,75.0
0.80,79.0
1.08,71.0
0.51,87.0
0.23,95.0
0.66,83.0
0.51,87.0
0.94,75.0
0.80,79.0
0.66,83.0
1.08,71.0
0.66,83.0
0.94,75.0
0.51,87.0
1.08,71.0
1.08,71.0
0.80,79.0
1.91,38.0
0.94,75.0
0.62,83.0
0.88,79.0
0.80,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.23,95.0
0.80,79.0
1.08,71.0
0.51,87.0
0.66,83.0
0.66,83.0
1.08,71.0
0.63,83.0
1.63,46.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
0.66,83.0
0.51,87.0
0.23,95.0
1.20,67.0
1.17,63.0
1.08,71.0
0.37,91.0
1.08,71.0
0.94,75.0
0.80,79.0
0.80,79.0
0.66,83.0
0.66,83.0
0.80,79.0
0.51,87.0
0.80,79.0
0.91,75.0
0.74,78.0
0.51,87.0
239.77,148.12,6.0,95.0,80.11,11.79
