Map,scenarios/2_blend/basic_animated/ba_50.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
2.34,59.0
1.74,42.0
0.97,71.0
1.74,46.0
0.80,78.0
0.80,79.0
0.91,71.0
0.37,91.0
1.37,63.0
0.88,71.0
1.23,67.0
1.51,54.0
1.89,32.0
0.66,83.0
0.51,87.0
0.80,78.0
0.91,71.0
0.80,79.0
0.23,95.0
0.51,87.0
0.80,78.0
0.66,83.0
0.51,87.0
1.45,54.0
0.51,87.0
1.00,66.0
1.37,58.0
0.80,79.0
0.65,83.0
0.23,95.0
1.14,63.0
0.51,87.0
1.23,67.0
0.51,87.0
0.80,79.0
1.48,50.0
0.51,87.0
1.37,63.0
1.06,66.0
0.80,79.0
0.80,79.0
0.63,83.0
0.49,87.0
0.65,83.0
0.80,79.0
0.80,79.0
0.80,79.0
0.63,82.0
1.49,50.0
0.66,83.0
1.20,62.0
1.49,50.0
1.06,66.0
0.80,79.0
1.51,59.0
0.20,95.0
2.20,29.0
0.23,95.0
0.51,87.0
1.92,36.0
1.20,62.0
0.51,87.0
1.32,58.0
0.51,87.0
0.92,71.0
0.80,79.0
2.28,30.0
1.32,59.0
2.06,43.0
1.77,41.0
0.51,87.0
0.34,91.0
0.23,95.0
0.23,95.0
1.89,38.0
0.80,79.0
0.94,74.0
1.06,71.0
0.80,79.0
0.51,87.0
0.46,86.0
0.66,83.0
0.23,95.0
1.94,42.0
0.65,83.0
0.23,95.0
0.80,79.0
0.51,87.0
0.37,90.0
0.51,87.0
0.51,87.0
0.51,87.0
0.66,83.0
1.37,63.0
0.66,83.0
0.63,83.0
0.94,70.0
0.23,95.0
0.37,91.0
0.51,87.0
0.51,87.0
1.91,37.0
0.51,87.0
1.03,71.0
0.60,83.0
1.40,54.0
0.51,86.0
0.80,79.0
0.49,86.0
0.23,95.0
1.37,63.0
0.80,79.0
0.77,79.0
0.66,83.0
1.06,67.0
0.23,95.0
0.51,87.0
0.80,79.0
1.46,47.0
0.51,86.0
0.74,79.0
1.17,63.0
1.86,42.0
0.80,79.0
2.32,21.0
0.77,79.0
0.80,79.0
0.80,79.0
0.77,79.0
1.20,63.0
0.66,83.0
0.51,87.0
1.77,42.0
0.80,79.0
1.17,71.0
0.88,71.0
1.20,67.0
0.51,86.0
1.00,67.0
2.09,33.0
0.23,95.0
0.37,91.0
0.80,79.0
1.06,71.0
0.77,79.0
1.91,37.0
0.51,87.0
0.23,95.0
0.63,83.0
0.51,87.0
1.37,58.0
0.80,79.0
3.17,1.0
1.20,67.0
0.51,87.0
1.91,37.0
0.51,87.0
1.37,63.0
1.89,38.0
0.80,79.0
1.34,58.0
1.32,59.0
0.66,83.0
1.88,37.0
0.80,79.0
0.51,87.0
0.22,95.0
0.80,78.0
0.23,95.0
1.08,71.0
1.34,58.0
0.52,87.0
0.63,83.0
0.65,83.0
1.91,42.0
0.52,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
0.66,83.0
0.49,87.0
0.94,75.0
1.37,58.0
1.34,59.0
1.51,49.0
0.66,83.0
1.08,71.0
1.49,50.0
0.80,79.0
0.80,79.0
0.91,71.0
1.49,50.0
0.80,79.0
0.51,87.0
1.89,41.0
1.08,66.0
0.80,79.0
0.51,87.0
276.62,185.05,1.0,95.0,73.15,17.54
