Map,scenarios/2_blend/basic_caco/bc_75.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,79.0
1.34,59.0
0.80,79.0
1.23,62.0
0.94,75.0
0.80,79.0
0.80,79.0
0.48,87.0
1.49,59.0
0.80,79.0
1.34,59.0
1.63,51.0
1.09,71.0
0.80,79.0
0.37,91.0
0.66,83.0
1.03,71.0
0.66,83.0
0.80,74.0
0.65,83.0
0.66,83.0
0.66,83.0
0.51,87.0
1.08,70.0
0.51,87.0
0.80,79.0
0.94,75.0
0.80,79.0
0.63,82.0
0.23,95.0
0.65,83.0
0.23,95.0
1.74,41.0
0.65,83.0
0.80,79.0
0.51,87.0
0.23,95.0
1.31,58.0
0.66,82.0
0.65,83.0
0.74,79.0
0.34,91.0
0.23,94.0
0.77,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.80,79.0
0.94,75.0
0.51,87.0
1.37,58.0
0.80,79.0
0.94,75.0
0.80,79.0
1.63,51.0
0.23,95.0
0.23,95.0
0.23,95.0
0.66,83.0
0.94,75.0
1.37,58.0
0.51,87.0
0.94,75.0
0.37,91.0
0.80,79.0
0.80,79.0
0.37,91.0
0.80,79.0
1.34,58.0
0.63,83.0
0.23,95.0
0.20,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.66,83.0
0.91,74.0
0.51,87.0
0.66,83.0
0.23,95.0
0.23,95.0
0.51,87.0
0.23,95.0
1.17,71.0
0.66,83.0
0.23,95.0
0.80,79.0
0.23,95.0
0.23,95.0
0.66,83.0
0.66,83.0
0.77,75.0
0.23,95.0
1.91,38.0
0.66,83.0
0.51,87.0
0.51,87.0
0.23,94.0
0.23,95.0
0.23,95.0
0.23,95.0
0.91,75.0
0.51,87.0
1.48,55.0
0.51,87.0
0.94,75.0
0.51,87.0
0.66,83.0
0.51,87.0
0.23,95.0
1.34,59.0
0.94,75.0
0.80,79.0
0.63,83.0
0.80,79.0
0.80,74.0
0.23,95.0
0.80,79.0
1.20,63.0
0.37,91.0
0.66,83.0
0.80,79.0
0.94,75.0
0.77,79.0
1.09,71.0
0.80,79.0
0.94,75.0
0.66,83.0
0.66,83.0
0.94,75.0
0.80,79.0
0.51,87.0
0.94,75.0
0.80,79.0
0.66,83.0
0.80,79.0
2.29,22.0
0.37,91.0
0.80,79.0
0.66,83.0
0.23,95.0
0.23,95.0
0.80,79.0
0.94,75.0
0.80,79.0
1.34,59.0
0.51,87.0
0.37,91.0
0.66,83.0
0.51,87.0
0.94,74.0
0.80,79.0
0.66,83.0
1.37,58.0
0.66,83.0
0.94,75.0
0.51,87.0
1.34,59.0
2.23,29.0
0.91,75.0
1.89,39.0
0.88,75.0
0.74,79.0
1.91,38.0
0.80,79.0
0.77,79.0
0.23,95.0
0.80,79.0
0.23,95.0
0.91,75.0
1.94,37.0
0.77,75.0
0.66,83.0
0.80,79.0
1.63,51.0
0.66,83.0
0.94,75.0
0.66,83.0
0.80,79.0
0.63,83.0
0.23,95.0
0.80,79.0
0.51,87.0
0.51,87.0
1.34,59.0
1.34,59.0
1.63,51.0
0.37,91.0
1.94,37.0
0.94,75.0
0.77,79.0
0.80,79.0
0.80,79.0
0.66,83.0
0.94,75.0
0.23,95.0
0.91,75.0
0.80,79.0
0.66,83.0
0.37,91.0
246.42,154.82,22.0,95.0,78.69,13.58
