Map,scenarios/2_blend/basic_animated/ba_75.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.57,83.0
5.48,-88.0
0.77,79.0
1.06,66.0
0.94,75.0
1.17,62.0
1.20,63.0
0.37,91.0
1.23,62.0
1.34,53.0
0.94,75.0
1.92,38.0
1.20,63.0
1.46,50.0
0.77,75.0
2.80,3.0
0.74,79.0
3.29,-17.0
0.23,95.0
1.20,58.0
0.91,70.0
0.91,71.0
0.77,75.0
1.48,50.0
0.51,87.0
1.06,67.0
2.06,39.0
0.80,79.0
1.48,50.0
0.23,95.0
1.06,67.0
0.23,95.0
0.91,75.0
0.51,87.0
1.91,43.0
0.94,70.0
0.23,95.0
1.34,59.0
1.34,54.0
1.20,58.0
2.51,11.0
2.11,22.0
0.63,79.0
1.03,67.0
0.80,79.0
0.66,83.0
1.06,67.0
0.91,71.0
1.49,55.0
0.77,74.0
1.09,71.0
2.71,8.0
1.20,63.0
1.91,37.0
1.37,58.0
0.23,95.0
0.23,95.0
0.23,95.0
0.80,74.0
1.20,63.0
1.86,34.0
0.74,75.0
1.06,67.0
0.37,91.0
0.91,75.0
0.80,79.0
0.77,75.0
1.34,59.0
2.74,8.0
0.91,71.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
1.51,49.0
0.91,71.0
1.46,49.0
0.77,75.0
0.91,71.0
0.23,95.0
0.63,79.0
0.77,74.0
0.23,95.0
1.08,71.0
0.80,74.0
0.23,95.0
1.34,52.0
0.23,95.0
0.23,95.0
1.06,66.0
0.80,74.0
0.63,79.0
0.23,95.0
1.06,71.0
0.63,83.0
0.63,79.0
0.91,71.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
3.06,-4.0
0.80,74.0
1.06,67.0
0.77,75.0
1.60,46.0
1.20,58.0
0.91,71.0
0.77,75.0
0.23,95.0
1.06,71.0
0.94,75.0
1.06,67.0
0.80,74.0
2.91,0.0
0.23,95.0
0.23,95.0
1.37,53.0
1.43,53.0
0.77,75.0
2.23,34.0
1.17,61.0
2.23,21.0
1.88,33.0
1.03,71.0
1.06,67.0
0.94,75.0
1.17,58.0
1.31,53.0
1.51,48.0
0.91,70.0
0.37,91.0
2.66,12.0
0.80,79.0
0.65,83.0
0.66,83.0
4.06,-33.0
0.77,74.0
1.31,52.0
0.66,83.0
0.23,95.0
0.23,94.0
1.74,47.0
1.34,57.0
0.66,83.0
1.91,33.0
0.77,74.0
0.77,75.0
1.06,67.0
0.63,78.0
2.99,-1.0
0.65,83.0
0.66,83.0
1.23,62.0
0.51,87.0
1.09,71.0
2.26,18.0
1.34,59.0
2.54,13.0
0.80,79.0
1.63,46.0
1.23,62.0
0.91,70.0
0.91,75.0
1.06,67.0
1.09,66.0
0.29,96.0
1.06,67.0
0.23,95.0
0.94,75.0
1.48,49.0
2.00,24.0
0.80,74.0
0.63,83.0
1.42,49.0
0.51,87.0
1.20,63.0
1.17,58.0
1.20,62.0
0.66,83.0
0.23,95.0
0.66,83.0
0.77,75.0
0.77,75.0
1.51,54.0
1.51,49.0
1.94,37.0
1.03,62.0
1.86,30.0
0.91,75.0
2.34,31.0
1.08,66.0
0.66,82.0
0.66,83.0
2.17,25.0
0.63,79.0
1.34,58.0
0.80,79.0
2.46,17.0
3.08,-15.0
313.48,221.88,-88.0,96.0,64.74,26.97
